agent,time,x,y,z
9,19,52.0,11.0,43.0
0,20,30.0,10.0,10.0
1,20,70.0,10.0,10.0
2,20,50.0,40.0,50.0
3,20,40.0,50.0,20.0
4,20,30.0,30.0,70.0
5,20,50.0,10.0,40.0
6,20,60.0,40.0,10.0
7,20,65.0,57.0,7.0
8,20,47.0,1.0,67.0
9,20,53.0,11.0,43.0
0,21,31.0,10.0,10.0
1,21,69.0,10.0,10.0
2,21,50.0,41.0,50.0
3,21,41.0,50.0,20.0
4,21,31.0,30.0,70.0
5,21,51.0,10.0,40.0
6,21,60.0,41.0,10.0
7,21,64.0,57.0,7.0
8,21,46.0,1.0,67.0
9,21,54.0,11.0,43.0
0,22,32.0,10.0,10.0
1,22,68.0,10.0,10.0
2,22,50.0,42.0,50.0
3,22,42.0,50.0,20.0
4,22,32.0,30.0,70.0
5,22,52.0,10.0,40.0
6,22,60.0,42.0,10.0
7,22,63.0,57.0,7.0
8,22,45.0,1.0,67.0
9,22,55.0,11.0,43.0
0,23,33.0,10.0,10.0
1,23,67.0,10.0,10.0
2,23,50.0,43.0,50.0
3,23,43.0,50.0,20.0
4,23,33.0,30.0,70.0
5,23,53.0,10.0,40.0
6,23,60.0,43.0,10.0
7,23,62.0,57.0,7.0
8,23,44.0,1.0,67.0
9,23,56.0,11.0,43.0
0,24,34.0,10.0,10.0
1,24,66.0,10.0,10.0
2,24,50.0,44.0,50.0
3,24,44.0,50.0,20.0
4,24,34.0,30.0,70.0
5,24,54.0,10.0,40.0
6,24,60.0,44.0,10.0
7,24,61.0,57.0,7.0
8,24,43.0,1.0,67.0
9,24,57.0,11.0,43.0
0,25,35.0,10.0,10.0
1,25,65.0,10.0,10.0
2,25,50.0,45.0,50.0
3,25,45.0,50.0,20.0
4,25,35.0,30.0,70.0
5,25,55.0,10.0,40.0
6,25,60.0,45.0,10.0
7,25,60.0,57.0,7.0
8,25,42.0,1.0,67.0
9,25,58.0,11.0,43.0
0,26,36.0,10.0,10.0
1,26,64.0,10.0,10.0
2,26,50.0,46.0,50.0
3,26,46.0,50.0,20.0
4,26,36.0,30.0,70.0
5,26,56.0,10.0,40.0
6,26,60.0,46.0,10.0
7,26,59.0,57.0,7.0
8,26,41.0,1.0,67.0
9,26,59.0,11.0,43.0
0,27,37.0,10.0,10.0
1,27,63.0,10.0,10.0
2,27,50.0,47.0,50.0
3,27,47.0,50.0,20.0
4,27,37.0,30.0,70.0
5,27,57.0,10.0,40.0
6,27,60.0,47.0,10.0
7,27,58.0,57.0,7.0
8,27,40.0,1.0,67.0
9,27,60.0,11.0,43.0
0,28,38.0,10.0,10.0
1,28,62.0,10.0,10.0
2,28,50.0,48.0,50.0
3,28,48.0,50.0,20.0
4,28,38.0,30.0,70.0
5,28,58.0,10.0,40.0
6,28,60.0,48.0,10.0
7,28,57.0,57.0,7.0
8,28,39.0,1.0,67.0
9,28,61.0,11.0,43.0
0,29,39.0,10.0,10.0
1,29,61.0,10.0,10.0
2,29,50.0,49.0,50.0
3,29,49.0,50.0,20.0
4,29,39.0,30.0,70.0
5,29,59.0,10.0,40.0
6,29,60.0,49.0,10.0
7,29,56.0,57.0,7.0
8,29,38.0,1.0,67.0
9,29,62.0,11.0,43.0
0,30,40.0,10.0,10.0
1,30,60.0,10.0,10.0
