agent,time,x,y,z
0,30.8,40.8,10.0,10.0
0,31.0,41.0,10.0,10.0
0,31.2,41.2,10.0,10.0
0,31.4,41.4,10.0,10.0
0,31.6,41.6,10.0,10.0
0,31.8,41.8,10.0,10.0
0,32.0,42.0,10.0,10.0
0,32.2,42.2,10.0,10.0
0,32.4,42.4,10.0,10.0
0,32.6,42.6,10.0,10.0
0,32.8,42.8,10.0,10.0
0,33.0,43.0,10.0,10.0
0,33.2,43.2,10.0,10.0
0,33.4,43.4,10.0,10.0
0,33.6,43.6,10.0,10.0
0,33.8,43.8,10.0,10.0
0,34.0,44.0,10.0,10.0
0,34.2,44.2,10.0,10.0
0,34.4,44.4,10.0,10.0
0,34.6,44.6,10.0,10.0
0,34.8,44.8,10.0,10.0
0,35.0,45.0,10.0,10.0
0,35.2,45.2,10.0,10.0
0,35.4,45.4,10.0,10.0
0,35.6,45.6,10.0,10.0
0,35.8,45.8,10.0,10.0
0,36.0,46.0,10.0,10.0
0,36.2,46.2,10.0,10.0
0,36.4,46.4,10.0,10.0
0,36.6,46.6,10.0,10.0
0,36.8,46.8,10.0,10.0
0,37.0,47.0,10.0,10.0
0,37.2,47.2,10.0,10.0
0,37.4,47.4,10.0,10.0
0,37.6,47.6,10.0,10.0
0,37.8,47.8,10.0,10.0
0,38.0,48.0,10.0,10.0
0,38.2,48.2,10.0,10.0
0,38.4,48.4,10.0,10.0
0,38.6,48.6,10.0,10.0
0,38.8,48.8,10.0,10.0
0,39.0,49.0,10.0,10.0
0,39.2,49.0,10.2,10.0
0,39.4,49.0,10.4,10.0
0,39.6,49.0,10.6,10.0
0,39.8,49.0,10.8,10.0
0,40.0,49.0,11.0,10.0
0,40.2,49.2,11.0,10.0
0,40.4,49.4,11.0,10.0
0,40.6,49.6,11.0,10.0
0,40.8,49.8,11.0,10.0
0,41.0,50.0,11.0,10.0
0,41.2,50.2,11.0,10.0
0,41.4,50.4,11.0,10.0
0,41.6,50.6,11.0,10.0
0,41.8,50.8,11.0,10.0
0,42.0,51.0,11.0,10.0
0,42.2,51.2,11.0,10.0
0,42.4,51.4,11.0,10.0
0,42.6,51.6,11.0,10.0
0,42.8,51.8,11.0,10.0
0,43.0,52.0,11.0,10.0
0,43.2,52.2,11.0,10.0
0,43.4,52.4,11.0,10.0
0,43.6,52.6,11.0,10.0
0,43.8,52.8,11.0,10.0
0,44.0,53.0,11.0,10.0
0,44.2,53.2,11.0,10.0
0,44.4,53.4,11.0,10.0
0,44.6,53.6,11.0,10.0
0,44.8,53.8,11.0,10.0
0,45.0,54.0,11.0,10.0
0,45.2,54.2,11.0,10.0
0,45.4,54.4,11.0,10.0
0,45.6,54.6,11.0,10.0
0,45.8,54.8,11.0,10.0
0,46.0,55.0,11.0,10.0
0,46.2,55.2,11.0,10.0
0,46.4,55.4,11.0,10.0
0,46.6,55.6,11.0,10.0
0,46.8,55.8,11.0,10.0
0,47.0,56.0,11.0,10.0
0,47.2,56.2,11.0,10.0
0,47.4,56.4,11.0,10.0
0,47.6,56.6,11.0,10.0
0,47.8,56.8,11.0,10.0
0,48.0,57.0,11.0,10.0
0,48.2,57.2,11.0,10.0
0,48.4,57.4,11.0,10.0
0,48.6,57.6,11.0,10.0
0,48.8,57.8,11.0,10.0
0,49.0,58.0,11.0,10.0
0,49.2,58.2,11.0,10.0
0,49.4,58.4,11.0,10.0
0,49.6,58.6,11.0,10.0
0,49.8,58.8,11.0,10.0
0,50.0,59.0,11.0,10.0
0,50.2,59.2,11.0,10.0
0,50.4,59.4,11.0,10.0
0,50.6,59.6,11.0,10.0
0,50.8,59.8,11.0,10.0
0,51.0,60.0,11.0,10.0
0,51.2,60.2,11.0,10.0
0,51.4,60.4,11.0,10.0
0,51.6,60.6,11.0,10.0
0,51.8,60.8,11.0,10.0
0,52.0,61.0,11.0,10.0
0,52.2,61.2,11.0,10.0
0,52.4,61.4,11.0,10.0
0,52.6,61.6,11.0,10.0
0,52.8,61.8,11.0,10.0
0,53.0,62.0,11.0,10.0
0,53.2,62.2,11.0,10.0
0,53.4,62.4,11.0,10.0
0,53.6,62.6,11.0,10.0
0,53.8,62.8,11.0,10.0
0,54.0,63.0,11.0,10.0
0,54.2,63.2,11.0,10.0
0,54.4,63.4,11.0,10.0
0,54.6,63.6,11.0,10.0
0,54.8,63.8,11.0,10.0
0,55.0,64.0,11.0,10.0
0,55.2,64.2,11.0,10.0
0,55.4,64.4,11.0,10.0
0,55.6,64.6,11.0,10.0
0,55.8,64.8,11.0,10.0
0,56.0,65.0,11.0,10.0
0,56.2,65.2,11.0,10.0
0,56.4,65.4,11.0,10.0
0,56.6,65.6,11.0,10.0
0,56.8,65.8,11.0,10.0
0,57.0,66.0,11.0,10.0
0,57.2,66.2,11.0,10.0
0,57.4,66.4,11.0,10.0
0,57.6,66.6,11.0,10.0
0,57.8,66.8,11.0,10.0
0,58.0,67.0,11.0,10.0
0,58.2,67.2,11.0,10.0
0,58.4,67.4,11.0,10.0
0,58.6,67.6,11.0,10.0
0,58.8,67.8,11.0,10.0
0,59.0,68.0,11.0,10.0
0,59.2,68.2,11.0,10.0
0,59.4,68.4,11.0,10.0
0,59.6,68.6,11.0,10.0
0,59.8,68.8,11.0,10.0
0,60.0,69.0,11.0,10.0
0,60.2,69.2,11.0,10.0
0,60.4,69.4,11.0,10.0
0,60.6,69.6,11.0,10.0
0,60.8,69.8,11.0,10.0
0,61.0,70.0,11.0,10.0
0,61.2,70.2,11.0,10.0
0,61.4,70.4,11.0,10.0
0,61.6,70.6,11.0,10.0
0,61.8,70.8,11.0,10.0
0,62.0,71.0,11.0,10.0
0,62.2,71.2,11.0,10.0
0,62.4,71.4,11.0,10.0
0,62.6,71.6,11.0,10.0
0,62.8,71.8,11.0,10.0
0,63.0,72.0,11.0,10.0
0,63.2,72.2,11.0,10.0
0,63.4,72.4,11.0,10.0
0,63.6,72.6,11.0,10.0
0,63.8,72.8,11.0,10.0
0,64.0,73.0,11.0,10.0
0,64.2,73.2,11.0,10.0
0,64.4,73.4,11.0,10.0
0,64.6,73.6,11.0,10.0
0,64.8,73.8,11.0,10.0
0,65.0,74.0,11.0,10.0
0,65.2,74.2,11.0,10.0
0,65.4,74.4,11.0,10.0
0,65.6,74.6,11.0,10.0
0,65.8,74.8,11.0,10.0
0,66.0,75.0,11.0,10.0
0,66.2,75.2,11.0,10.0
0,66.4,75.4,11.0,10.0
0,66.6,75.6,11.0,10.0
0,66.8,75.8,11.0,10.0
0,67.0,76.0,11.0,10.0
0,67.2,76.2,11.0,10.0
0,67.4,76.4,11.0,10.0
0,67.6,76.6,11.0,10.0
0,67.8,76.8,11.0,10.0
0,68.0,77.0,11.0,10.0
0,68.2,77.2,11.0,10.0
0,68.4,77.4,11.0,10.0
0,68.6,77.6,11.0,10.0
0,68.8,77.8,11.0,10.0
0,69.0,78.0,11.0,10.0
0,69.2,78.2,11.0,10.0
0,69.4,78.4,11.0,10.0
0,69.6,78.6,11.0,10.0
0,69.8,78.8,11.0,10.0
0,70.0,79.0,11.0,10.0
0,70.2,79.2,11.0,10.0
0,70.4,79.4,11.0,10.0
0,70.6,79.6,11.0,10.0
0,70.8,79.8,11.0,10.0
0,71.0,80.0,11.0,10.0
0,71.2,80.2,11.0,10.0
0,71.4,80.4,11.0,10.0
0,71.6,80.6,11.0,10.0
0,71.8,80.8,11.0,10.0
0,72.0,81.0,11.0,10.0
0,72.2,81.2,11.0,10.0
0,72.4,81.4,11.0,10.0
0,72.6,81.6,11.0,10.0
0,72.8,81.8,11.0,10.0
0,73.0,82.0,11.0,10.0
0,73.2,82.2,11.0,10.0
0,73.4,82.4,11.0,10.0
0,73.6,82.6,11.0,10.0
0,73.8,82.8,11.0,10.0
0,74.0,83.0,11.0,10.0
0,74.2,83.2,11.0,10.0
0,74.4,83.4,11.0,10.0
0,74.6,83.6,11.0,10.0
0,74.8,83.8,11.0,10.0
0,75.0,84.0,11.0,10.0
0,75.2,84.2,11.0,10.0
0,75.4,84.4,11.0,10.0
0,75.6,84.6,11.0,10.0
0,75.8,84.8,11.0,10.0
0,76.0,85.0,11.0,10.0
0,76.2,85.2,11.0,10.0
0,76.4,85.4,11.0,10.0
0,76.6,85.6,11.0,10.0
0,76.8,85.8,11.0,10.0
0,77.0,86.0,11.0,10.0
0,77.2,86.2,11.0,10.0
0,77.4,86.4,11.0,10.0
0,77.6,86.6,11.0,10.0
0,77.8,86.8,11.0,10.0
0,78.0,87.0,11.0,10.0
0,78.2,87.2,11.0,10.0
0,78.4,87.4,11.0,10.0
0,78.6,87.6,11.0,10.0
0,78.8,87.8,11.0,10.0
0,79.0,88.0,11.0,10.0
0,79.2,88.2,11.0,10.0
0,79.4,88.4,11.0,10.0
0,79.6,88.6,11.0,10.0
0,79.8,88.8,11.0,10.0
0,80.0,89.0,11.0,10.0
0,80.2,89.2,11.0,10.0
0,80.4,89.4,11.0,10.0
0,80.6,89.6,11.0,10.0
0,80.8,89.8,11.0,10.0
0,81.0,90.0,11.0,10.0
0,81.2,90.0,11.2,10.0
0,81.4,90.0,11.4,10.0
0,81.6,90.0,11.6,10.0
0,81.8,90.0,11.8,10.0
0,82.0,90.0,12.0,10.0
0,82.2,90.0,12.2,10.0
0,82.4,90.0,12.4,10.0
0,82.6,90.0,12.6,10.0
0,82.8,90.0,12.8,10.0
0,83.0,90.0,13.0,10.0
0,83.2,90.0,13.2,10.0
0,83.4,90.0,13.4,10.0
0,83.6,90.0,13.6,10.0
0,83.8,90.0,13.8,10.0
0,84.0,90.0,14.0,10.0
0,84.2,90.0,14.2,10.0
0,84.4,90.0,14.4,10.0
0,84.6,90.0,14.6,10.0
0,84.8,90.0,14.8,10.0
0,85.0,90.0,15.0,10.0
0,85.2,90.0,15.2,10.0
0,85.4,90.0,15.4,10.0
0,85.6,90.0,15.6,10.0
0,85.8,90.0,15.8,10.0
0,86.0,90.0,16.0,10.0
0,86.2,90.0,16.2,10.0
0,86.4,90.0,16.4,10.0
0,86.6,90.0,16.6,10.0
0,86.8,90.0,16.8,10.0
0,87.0,90.0,17.0,10.0
0,87.2,90.0,17.2,10.0
0,87.4,90.0,17.4,10.0
0,87.6,90.0,17.6,10.0
0,87.8,90.0,17.8,10.0
0,88.0,90.0,18.0,10.0
0,88.2,90.0,18.2,10.0
0,88.4,90.0,18.4,10.0
0,88.6,90.0,18.6,10.0
0,88.8,90.0,18.8,10.0
0,89.0,90.0,19.0,10.0
0,89.2,90.0,19.2,10.0
0,89.4,90.0,19.4,10.0
0,89.6,90.0,19.6,10.0
