replan_iter,agent,time,x,y,z,original_x,original_y,original_z,attractive_force_x,attractive_force_y,attractive_force_z,repulsive_force_x,repulsive_force_y,repulsive_force_z,total_force_x,total_force_y,total_force_z,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.2,0.16,0.02,0.02,0.2,0.0,0.0,-0.13333333333333336,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,-0.13333333333333336,0.06666666666666667,0.06666666666666667,0.16329931618554525,0.0,0.16329931618554525,0.04898979485566357
1,1,0.2,0.16,18.98,0.02,0.2,19.0,0.0,-0.13333333333333336,-0.06666666666666643,0.06666666666666667,0.0,0.0,0.0,-0.13333333333333336,-0.06666666666666643,0.06666666666666667,0.16329931618554513,0.0,0.16329931618554513,0.0489897948556634
1,2,0.2,10.0,10.0,0.2,10.0,10.0,0.2,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0
1,3,0.2,18.83,0.0,0.02999999999999989,18.8,0.0,0.0,0.09999999999999787,0.0,0.09999999999999964,0.0,0.0,0.0,0.09999999999999787,0.0,0.09999999999999964,0.14142135623730775,0.0,0.14142135623730775,0.04242640687119107
1,0,0.4,0.32,0.04,0.04,0.4,0.0,0.0,-0.2666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,-0.2666666666666667,0.13333333333333333,0.13333333333333333,0.3265986323710905,0.0,0.3265986323710905,0.09797958971132714
1,1,0.4,0.32,18.96,0.04,0.4,19.0,0.0,-0.2666666666666667,-0.13333333333333286,0.13333333333333333,0.0,0.0,0.0,-0.2666666666666667,-0.13333333333333286,0.13333333333333333,0.32659863237109027,0.0,0.32659863237109027,0.0979795897113268
1,2,0.4,10.0,10.0,0.4,10.0,10.0,0.4,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0
1,3,0.4,18.66,0.0,0.05999999999999979,18.6,0.0,0.0,0.19999999999999932,0.0,0.19999999999999932,0.0,0.0,0.0,0.19999999999999932,0.0,0.19999999999999932,0.28284271247461806,0.0,0.28284271247461806,0.08485281374238465
1,0,0.6,0.48,0.05999999999999999,0.05999999999999999,0.6,0.0,0.0,-0.4,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,-0.4,0.19999999999999998,0.19999999999999998,0.4898979485566356,0.0,0.4898979485566356,0.14696938456699069
1,1,0.6,0.48,18.94,0.05999999999999999,0.6,19.0,0.0,-0.4,-0.1999999999999993,0.19999999999999998,0.0,0.0,0.0,-0.4,-0.1999999999999993,0.19999999999999998,0.4898979485566353,0.0,0.4898979485566353,0.14696938456699016
1,2,0.6,10.0,10.0,0.6,10.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.6,18.49,0.0,0.0900000000000002,18.4,0.0,0.0,0.3000000000000007,0.0,0.3000000000000007,0.0,0.0,0.0,0.3000000000000007,0.0,0.3000000000000007,0.4242640687119295,0.0,0.4242640687119295,0.1272792206135786
1,0,0.8,0.64,0.08,0.08,0.8,0.0,0.0,-0.5333333333333334,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,-0.5333333333333334,0.26666666666666666,0.26666666666666666,0.653197264742181,0.0,0.653197264742181,0.19595917942265428
1,1,0.8,0.64,18.92,0.08,0.8,19.0,0.0,-0.5333333333333334,-0.2666666666666657,0.26666666666666666,0.0,0.0,0.0,-0.5333333333333334,-0.2666666666666657,0.26666666666666666,0.6531972647421805,0.0,0.6531972647421805,0.1959591794226536
1,2,0.8,10.0,10.0,0.8,10.0,10.0,0.8,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
1,3,0.8,18.32,0.0,0.12000000000000012,18.2,0.0,0.0,0.3999999999999986,0.0,0.4000000000000004,0.0,0.0,0.0,0.3999999999999986,0.0,0.4000000000000004,0.5656854249492372,0.0,0.5656854249492372,0.1697056274847722
1,0,1.0,0.8,0.09999999999999999,0.09999999999999999,1.0,0.0,0.0,-0.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,-0.6666666666666667,0.3333333333333333,0.3333333333333333,0.816496580927726,0.0,0.816496580927726,0.24494897427831774
1,1,1.0,0.8,18.9,0.09999999999999999,1.0,19.0,0.0,-0.6666666666666667,-0.33333333333333215,0.3333333333333333,0.0,0.0,0.0,-0.6666666666666667,-0.33333333333333215,0.3333333333333333,0.8164965809277257,0.0,0.8164965809277257,0.24494897427831835
