agent,time,x,y,z,collision_risk,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
1,0.0,90.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2,0.0,50.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0
3,0.0,20.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0
4,0.0,10.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0
5,0.0,30.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0
6,0.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0
7,0.0,85.0,57.0,7.0,0.0,0.0,0.0,0.0,0.0
8,0.0,67.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0
9,0.0,33.0,11.0,43.0,0.0,0.0,0.0,0.0,0.0
0,0.2,10.086711795417811,10.056644102291095,10.056644102291095,0.0,0.027569708092048697,0.0,0.027569708092048697,0.008270912427615143
1,0.2,89.91328820458219,10.056644102291095,10.056644102291095,0.0,0.02756970809206291,0.0,0.02756970809206291,0.008270912427616593
2,0.2,50.0,20.2,50.0,0.0,0.0,0.0,0.0,0.0
3,0.2,20.115033846563357,50.0,20.084966153436643,0.0,0.02387606758263171,0.0,0.02387606758263171,0.00716282027478988
4,0.2,10.143355897708904,30.056644102291095,69.94335589770891,0.0,0.019494727547219544,0.0,0.019494727547219544,0.005848418264163682
5,0.2,30.062435751578768,10.064736116904106,40.016184029226025,0.0,0.030380338652269853,0.0,0.030380338652269853,0.00911410159568153
6,0.2,40.0395083768419,40.009440683715184,10.037762734860731,0.0,0.032814516189196896,0.0,0.032814516189196896,0.009844354856758334
7,0.2,84.88292696575415,56.945621661800544,7.065254005839344,0.0,0.0235878147511418,0.0,0.0235878147511418,0.007076344425339502
8,0.2,66.95299860871853,1.0508010944642598,66.99682493159598,0.0,0.03203934003120212,0.0,0.03203934003120212,0.009611802009359896
9,0.2,33.08818407714631,11.080200609947035,42.99186370623726,0.0,0.027389975706533416,0.0,0.027389975706533416,0.00821699271195702
0,0.4,10.173423590835622,10.113288204582188,10.113288204582188,0.0,0.055139416184097394,0.0,0.055139416184097394,0.016541824855228836
1,0.4,89.82657640916439,10.113288204582188,10.113288204582188,0.0,0.055139416184088054,0.0,0.055139416184088054,0.016541824855231736
2,0.4,50.0,20.4,50.0,0.0,0.0,0.0,0.0,0.0
