agent,time,x,y,z,original_x,original_y,original_z,distance,threshold,applied_force
0,3.4,3.4,0.0,0.0,3.4,0.0,0.0,19.0,-9.0,0.0
1,3.4,3.4,19.0,0.0,3.4,19.0,0.0,19.0,-9.0,0.0
2,3.4,10.0,10.0,3.4,10.0,10.0,3.4,12.454717981552212,-5.727358990776106,0.0
3,3.4,15.6,0.0,0.0,15.6,0.0,0.0,12.2,-5.6,0.0
0,3.6,3.6,0.0,0.0,3.6,0.0,0.0,19.0,-9.0,0.0
1,3.6,3.6,19.0,0.0,3.6,19.0,0.0,19.0,-9.0,0.0
2,3.6,10.0,10.0,3.6,10.0,10.0,3.6,12.406449935416658,-5.703224967708329,0.0
3,3.6,15.4,0.0,0.0,15.4,0.0,0.0,11.8,-5.4,0.0
0,3.8,3.8,0.0,0.0,3.8,0.0,0.0,19.0,-9.0,0.0
1,3.8,3.8,19.0,0.0,3.8,19.0,0.0,19.0,-9.0,0.0
2,3.8,10.0,10.0,3.8,10.0,10.0,3.8,12.364465212858985,-5.682232606429492,0.0
3,3.8,15.2,0.0,0.0,15.2,0.0,0.0,11.399999999999999,-5.199999999999999,0.0
0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,19.0,-9.0,0.0
1,4.0,4.0,19.0,0.0,4.0,19.0,0.0,19.0,-9.0,0.0
2,4.0,10.0,10.0,4.0,10.0,10.0,4.0,12.328828005937952,-5.664414002968976,0.0
3,4.0,15.0,0.0,0.0,15.0,0.0,0.0,11.0,-5.0,0.0
0,4.2,4.2,0.0,0.0,4.2,0.0,0.0,19.0,-9.0,0.0
1,4.2,4.2,19.0,0.0,4.2,19.0,0.0,19.0,-9.0,0.0
2,4.2,10.0,10.0,4.2,10.0,10.0,4.2,12.299593489217438,-5.649796744608719,0.0
3,4.2,14.8,0.0,0.0,14.8,0.0,0.0,10.600000000000001,-4.800000000000001,0.0
0,4.4,4.4,0.0,0.0,4.4,0.0,0.0,19.0,-9.0,0.0
1,4.4,4.4,19.0,0.0,4.4,19.0,0.0,19.0,-9.0,0.0
2,4.4,10.0,10.0,4.4,10.0,10.0,4.4,12.276807402578244,-5.638403701289122,0.0
3,4.4,14.6,0.0,0.0,14.6,0.0,0.0,10.2,-4.6,0.0
0,4.6,4.6,0.0,0.0,4.6,0.0,0.0,19.0,-9.0,0.0
1,4.6,4.6,19.0,0.0,4.6,19.0,0.0,19.0,-9.0,0.0
2,4.6,10.0,10.0,4.6,10.0,10.0,4.6,12.260505699195281,-5.630252849597641,0.0
3,4.6,14.4,0.0,0.0,14.4,0.0,0.0,9.8,-4.4,0.0
0,4.8,4.8,0.0,0.0,4.8,0.0,0.0,19.0,-9.0,0.0
1,4.8,4.8,19.0,0.0,4.8,19.0,0.0,19.0,-9.0,0.0
