agent,time,x,y,z,original_x,original_y,original_z,attractive_force_x,attractive_force_y,attractive_force_z,repulsive_force_x,repulsive_force_y,repulsive_force_z,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,90.0,10.0,10.0,90.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,50.0,20.0,50.0,50.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,20.0,50.0,20.0,20.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,10.0,30.0,70.0,10.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,30.0,10.0,40.0,30.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,40.0,40.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,85.0,57.0,7.0,85.0,57.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,67.0,1.0,67.0,67.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,33.0,11.0,43.0,33.0,11.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,10.070432662963867,10.064783096313477,10.064783096313477,10.072047,10.063976,10.063976,-0.0053806304931640625,0.0026903152465820312,0.0026903152465820312,0.0,0.0,0.0,0.006589899770915508,0.0,0.006589899770915508,0.001977047882974148
1.0,0.2,89.92957305908203,10.064781188964844,10.064781188964844,89.927956,10.063974,10.063974,0.00537872314453125,0.0026903152465820312,0.0026903152465820312,0.0,0.0,0.0,0.006588342133909464,0.0,0.006588342133909464,0.0019793850369751453
2.0,0.2,50.0,20.200000762939453,50.0,50.0,20.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.2,20.102825164794922,50.0,20.09717559814453,20.104036,50.0,20.095964,-0.00403594970703125,0.0,0.00403594970703125,0.0,0.0,0.0,0.005707694683223963,0.0,0.005707694683223963,0.0017128479667007923
4.0,0.2,10.135214805603027,30.064783096313477,69.93521881103516,10.136023,30.063976,69.93603,-0.0026912689208984375,0.002689361572265625,-0.0026931765023618937,0.0,0.0,0.0,0.004661415703594685,0.0,0.004661415703594685,0.001399085740558803
5.0,0.2,30.04266929626465,10.074039459228516,40.01850891113281,30.04463,10.073117,40.018276,-0.006534576416015625,0.00307464599609375,0.00077056884765625,0.0,0.0,0.0,0.007262775674462318,0.0,0.007262775674462318,0.002179257571697235
6.0,0.2,40.016448974609375,40.010799407958984,10.04318904876709,40.018734,40.010666,10.042651,-0.00762176513671875,0.000446319580078125,0.0017938613891601562,0.0,0.0,0.0,0.007842731662094593,0.0,0.007842731662094593,0.0023512495681643486
7.0,0.2,84.89484405517578,56.937808990478516,7.0746307373046875,84.89366,56.938583,7.0737014,0.003936767578125,-0.002582550048828125,0.0030984876211732626,0.0,0.0,0.0,0.005636340007185936,0.0,0.005636340007185936,0.001691688783466816
8.0,0.2,66.97499084472656,1.058095932006836,66.99636840820312,66.97281,1.0573725,66.996414,0.00726318359375,0.0024116039276123047,-0.000152587890625,0.0,0.0,0.0,0.0076546031050384045,0.0,0.0076546031050384045,0.002299276879057288
9.0,0.2,33.07211685180664,11.091726303100586,42.99069595336914,33.07371,11.090584,42.99081,-0.00531005859375,0.0038089752197265625,-0.000385284423828125,0.0,0.0,0.0,0.006546255201101303,0.0,0.006546255201101303,0.0019649367313832045
0.0,0.4,10.14086627960205,10.12956714630127,10.12956714630127,10.144094,10.127953,10.127953,-0.010761260986328125,0.0053806304931640625,0.0053806304931640625,0.0,0.0,0.0,0.013179799541831017,0.0,0.013179799541831017,0.003954095765948296
1.0,0.4,89.85913848876953,10.129565238952637,10.129565238952637,89.85591,10.127952,10.127952,0.0107574462890625,0.00537872314453125,0.00537872314453125,0.0,0.0,0.0,0.01317512709647417,0.0,0.01317512709647417,0.003952538128942251
2.0,0.4,50.0,20.399999618530273,50.0,50.0,20.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.4,20.205650329589844,50.0,20.194351196289062,20.20807,50.0,20.19193,-0.008069992065429688,0.0,0.008069992065429688,0.0,0.0,0.0,0.01141269225627184,0.0,0.01141269225627184,0.003422998357564211
4.0,0.4,10.270432472229004,30.129566192626953,69.87042999267578,10.272047,30.127953,69.87205,-0.0053806304931640625,0.0053806304931640625,-0.00537872314453125,0.0,0.0,0.0,0.009318424388766289,0.0,0.009318424388766289,0.0027976210694760084
5.0,0.4,30.085338592529297,10.148077011108398,40.03702163696289,30.089258,10.146232,40.03656,-0.013067245483398438,0.006150245666503906,0.00153350830078125,0.0,0.0,0.0,0.014523431658744812,0.0,0.014523431658744812,0.004356797318905592
6.0,0.4,40.03289031982422,40.0215950012207,10.086377143859863,40.037464,40.021328,10.085301,-0.0152435302734375,0.00089263916015625,0.0035867691040039062,0.0,0.0,0.0,0.015685245394706726,0.0,0.015685245394706726,0.004706206265836954
7.0,0.4,84.7896957397461,56.87561798095703,7.149259090423584,84.78733,56.877167,7.1474,0.00787353515625,-0.00516510009765625,0.006196498870849609,0.0,0.0,0.0,0.011272418312728405,0.0,0.011272418312728405,0.0033836395014077425
