agent,time,x,y,z
0.0,0.0,10.0,10.0,10.0
1.0,0.0,90.0,10.0,10.0
2.0,0.0,50.0,20.0,50.0
3.0,0.0,20.0,50.0,20.0
4.0,0.0,10.0,30.0,70.0
5.0,0.0,30.0,10.0,40.0
6.0,0.0,40.0,40.0,10.0
7.0,0.0,32.0,32.0,48.0
8.0,0.0,96.0,29.0,93.0
9.0,0.0,12.0,43.0,11.0
10.0,0.0,92.0,50.0,56.0
11.0,0.0,8.0,10.0,43.0
12.0,0.0,41.0,39.0,94.0
13.0,0.0,86.0,80.0,62.0
14.0,0.0,0.0,2.0,34.0
15.0,0.0,54.0,47.0,3.0
16.0,0.0,37.0,41.0,29.0
17.0,0.0,84.0,86.0,5.0
18.0,0.0,5.0,86.0,26.0
19.0,0.0,70.0,89.0,98.0
20.0,0.0,98.0,97.0,96.0
21.0,0.0,15.0,42.0,15.0
22.0,0.0,59.0,44.0,22.0
23.0,0.0,56.0,60.0,86.0
24.0,0.0,67.0,52.0,62.0
25.0,0.0,94.0,50.0,26.0
26.0,0.0,8.0,35.0,0.0
27.0,0.0,18.0,78.0,4.0
28.0,0.0,25.0,9.0,94.0
29.0,0.0,90.0,43.0,72.0
30.0,0.0,27.0,57.0,2.0
31.0,0.0,93.0,62.0,68.0
32.0,0.0,75.0,95.0,79.0
33.0,0.0,6.0,11.0,4.0
34.0,0.0,20.0,55.0,12.0
35.0,0.0,36.0,37.0,16.0
36.0,0.0,23.0,47.0,57.0
37.0,0.0,33.0,41.0,56.0
38.0,0.0,27.0,32.0,71.0
39.0,0.0,84.0,98.0,15.0
40.0,0.0,24.0,45.0,90.0
41.0,0.0,46.0,52.0,68.0
42.0,0.0,85.0,57.0,92.0
43.0,0.0,31.0,10.0,71.0
44.0,0.0,4.0,17.0,26.0
45.0,0.0,55.0,8.0,77.0
46.0,0.0,88.0,72.0,26.0
47.0,0.0,77.0,53.0,89.0
48.0,0.0,8.0,45.0,87.0
49.0,0.0,0.0,29.0,30.0
50.0,0.0,84.0,14.0,3.0
51.0,0.0,99.0,97.0,37.0
52.0,0.0,91.0,77.0,75.0
53.0,0.0,38.0,41.0,80.0
54.0,0.0,20.0,63.0,91.0
55.0,0.0,50.0,39.0,33.0
56.0,0.0,85.0,77.0,35.0
57.0,0.0,17.0,11.0,4.0
58.0,0.0,16.0,75.0,82.0
59.0,0.0,10.0,76.0,53.0
60.0,0.0,10.0,2.0,49.0
61.0,0.0,69.0,82.0,95.0
62.0,0.0,73.0,27.0,3.0
63.0,0.0,56.0,88.0,73.0
64.0,0.0,12.0,96.0,82.0
65.0,0.0,74.0,53.0,12.0
66.0,0.0,96.0,49.0,31.0
67.0,0.0,98.0,77.0,84.0
